support vector machine	Support-vector machine
swannee whistle	Slide whistle
web counter	Web counter
environmental veganism	Veganism
brown vinegar	Rice vinegar
pilot trial	Pilot experiment
google os	List of Google products
indian head bob	Head bobble
sugar nips	Sugar nips
building inspection	Building inspection
rotating furnance	Rotating furnace
fluid flywheel	Fluid coupling
psychrometric tables	Psychrometrics
dummy corporation	Dummy corporation
froth-flotation process	Froth flotation
cartilagines arytaenoideae	Arytenoid cartilage
runcicantic square tiling honeycomb	Square tiling honeycomb
doctor's lady	Doctor's lady
short backfire	Short backfire antenna
little endianness	Endianness
cryptovirus group	Cryptovirology
sneezewort yarrow	Achillea ptarmica
castle-class trawler	Castle-class trawler
list of blockades	List of blockades
virus counter	Virus counter
forward operator	Inverse problem
solder paste mask	Stencil printing
vibrational spectroscopy of linear molecules	Vibrational spectroscopy of linear molecules
bulb of applied force	Bulb of applied force
five-string bass	Extended-range bass
telophase 1	Meiosis
channel 67	Channel 67
ullage rocket	Ullage motor
kepler's laws of planetary motion	Kepler's laws of planetary motion
septic tank cleaner	Septic tank
compression brake	Compression release engine brake
forward observer	Artillery observer
radar picket ship	Radar picket
discrete comput geom	Discrete & Computational Geometry
kourou space center	Guiana Space Centre
turing machine equivalents	Turing machine equivalents
superstorm sandy	Hurricane Sandy
relationship between matter and energy	Mass–energy equivalence
first impression	First impression
motorcycle tyre	Motorcycle tyre
resident evil	Resident Evil
sum of squared error	Squared deviations from the mean
connective tissue growth factor	CTGF
car engines	Internal combustion engine
stirling heat engine	Stirling engine
tesla tractor truck	Tesla Semi
supramolecular aggregate	Supramolecular assembly
sabin oral polio vaccine	Polio vaccine
kugel ball	Kugel fountain
japanese development of nuclear energy	Japanese nuclear weapon program
evorel patch	Estrogen patch
niagara falls	Niagara Falls
nitrogen mustard	Nitrogen mustard
wind generator	Wind turbine
feigenbaum number	Feigenbaum constants
muscle tonus	Muscle tone
khak shir	Teff
caterpillar tractor	Continuous track
critical media literacy	Media literacy
injection flaw	Code injection
traceological analysis	Use-wear analysis
criminal sanity	Insanity defense
chrome 500 series	Chrome 500 series
leaf sensor	Leaf sensor
estrogen dependent disease	Estrogen-dependent condition
mobile catering	Mobile catering
chapayev-class cruiser	Chapayev-class cruiser
arabic ontology	Arabic Ontology
75th century	Timeline of the far future
time-multiplexed optical shutter	Time-multiplexed optical shutter
earth clock	Earth clock
united kingdom	United Kingdom
takeoff distance	Takeoff
franchi al-48	Franchi AL-48
medician stars	Galilean moons
dugout boat	Dugout canoe
latch hooked	Rug hooking
linear and musical note pottery culture	Linear Pottery culture
antisway bars	Anti-roll bar
el mercado de los angeles	El Mercado de Los Ángeles
foot dragging	Foot drop
harpies in popular culture	Harpy
rotary snowplough	Rotary snowplow
sunspot group	Sunspot
asymmetric hydrogenation	Asymmetric hydrogenation
to get lost	Getting lost
computer poker player	Computer poker player
ferromagnetic materials	Ferromagnetism
budgie smuggler	Swim briefs
spemann organiser	Spemann-Mangold organizer
violent video games	Violence and video games
washing your mouth out	Washing out the mouth with soap
b1246 road	B roads in Zone 1 of the Great Britain numbering scheme
delivery tricycle	Freight bicycle
type 92 105 mm cannon	Type 92 10 cm cannon
terminator scenario	Existential risk from artificial general intelligence
internet message boards	Internet forum
hard frost	Frost
oxygen-dissociation curve	Oxygen–hemoglobin dissociation curve
b'ak'tun 13	2012 phenomenon
astronomical month	Lunar month
internet telephone	Voice over IP
benard convection	Rayleigh–Bénard convection
self-mixing interferometry	Self-mixing interferometry
z with descender	Z with descender
electrohydraulic servo valve	Electrohydraulic servo valve
air parcel	Fluid parcel
magnetic braking	Magnetic braking
posterior scrotal arteries	Posterior scrotal arteries
pokémon trading card game	Pokémon Trading Card Game
on one's hunkers	Squatting position
video detection and ranging	Video detection and ranging
graphics application suite	Graphics suite
hamming distance	Hamming distance
icehouse pieces	Icehouse pieces
kissing traditions	Kissing traditions
flex-fuel car	Flexible-fuel vehicle
lunar module descent engine	Descent propulsion system
cheque truncation	Cheque truncation
embedded wafer level ball grid array	Embedded wafer level ball grid array
contact x-ray brachytherapy	Radiation therapy
amphibious bus	Amphibious vehicle
vortex dynamics	Vorticity
transthyretin-related hereditary amyloidosis	Familial amyloid polyneuropathy
tumor-specific antigen	Tumor antigen
for honor	For Honor
formal equivalence checking	Formal equivalence checking
sunday dinner	Sunday roast
three-mirror anastigmat	Three-mirror anastigmat
human mouth	Human mouth
demonization of enemy	Demonizing the enemy
gene silencing	Gene silencing
electricity substation	Electrical substation
ecoles nationales des sciences appliquees	Écoles nationales des sciences appliquées
ocular psychoneurosis	Ocular neurosis
geospatial information	Geographic data and information
medical image	Medical imaging
majority carrier	Charge carrier
fold-down seating	Car seat
nickel novel	Dime novel
rubbish dump	Landfill
bear-resistant food storage container	Bear-resistant food storage container
molecular physiology	Systems biology
recurrent polyserositis	Familial Mediterranean fever
body search	Frisking
nuclear halocaust	Nuclear winter
opel combo	Opel Combo
networked control system	Networked control system
normally hyperbolic invariant manifold	Normally hyperbolic invariant manifold
riemann hypothesis	Riemann hypothesis
notice of country of origin	Country of origin
melodic stretch	Stretched tuning
nitrogen trihydride	Ammonia
faroese lace shawls	Faroese shawl
braille pattern dots-3467	Braille pattern dots-346
zitterbewegung motion	Zitterbewegung
bispectral index	Bispectral index
ball torture	Cock and ball torture
current good manufacturing practice	Good manufacturing practice
shellac record	Phonograph record
connectivity queries	Web search query
initialization string	Hayes command set
nosler partition	Nosler
amiga software piracy	Amiga software
cross dowel	Dowel
digital pattern generator	Digital pattern generator
copulation calls	Mating call
alien conspiracies	UFO conspiracy theories
severe combined immunodeficiency disease	Severe combined immunodeficiency
ice-type model	Ice-type model
java performance	Java performance
mysore raspberry	Rubus niveus
aeroderivative gas turbine	Gas turbine
sky knight	Sky Knight Helicopter Program
portuguese manual alphabet	Portuguese manual alphabet
falling bodies	Equations for a falling body
radio receiver	Radio receiver
triple cock cage	Cock ring
laser lamp	Headlamp
distributed deadlock	Deadlock
observation tower	Observation tower
dry-cleaning fluid	Tetrachloroethylene
pyloric canals	Pylorus
star projector	Planetarium projector
list of earth and atmospheric sciences journals	List of earth and atmospheric sciences journals
hyponormal operator	Hyponormal operator
watts chapel	Watts Cemetery Chapel
food composition table	Food composition data
galactose-1-phosphate uridyltransferase	Galactose-1-phosphate uridylyltransferase
franking machine	Postage meter
marine architecture	Marine architecture
yankee screwdriver	Yankee screwdriver
hopfer family	Daniel Hopfer
lingustic determinism	Linguistic relativity
petite yeast	Petite mutation
brixham sailing trawler	Brixham trawler
lane assist	Lane departure warning system
electrical arc	Electric arc
center drill	Drill bit
tailor's dummy	Dress form
molecular complementarity	Molecular recognition
ball park estimate	Guesstimate
carbon dioxide laser	Carbon dioxide laser
equilibrium tide theory	Tide
gingerbread man	Gingerbread man
acantopsis choirorhynchos	Acantopsis dialuzona
64-bit operating system	64-bit computing
exponentiation by repeated squaring	Exponentiation by squaring
systems theorist	Systems theory
polarizable continuum model	Polarizable continuum model
witsenhausen's counterexample	Witsenhausen's counterexample
branch and price	Branch and price
recycling in space	Recycling
menstrual pad	Sanitary napkin
oxford blue	Blue (university sport)
noise current	Johnson–Nyquist noise
time limiter	Time limit
seifert fiber space	Seifert fiber space
cable operators	Cable television
cash railway	Cash carrier
leichhardt's datura	Datura leichhardtii
fire ship	Fire ship
virchow's concept of pathology	Rudolf Virchow
coxed pair	Coxed pair
complexity index	Complexity index
zero-day warez	Warez
devadula lift irrigation project	J. Chokka Rao Devadula Lift Irrigation Scheme
1426 in poetry	1420s in poetry
monergolic fuels	Monopropellant
donskoy ryley	Donskoy ryley
colloidal probe	Colloidal probe technique
keyboard cover	Keyboard protector
curved lens	Lens
native iron	Telluric iron
scientific equipment optician	Scientific equipment optician
controlled-release medication	Modified-release dosage
introduction to eigenstates	Introduction to eigenstates
induced gas flotation	Induced gas flotation
mangrove swamps	Mangrove
food dehydrator	Food dehydrator
dry flies	Artificial fly
improvised rocket assisted mortar	Lob bomb
culture of fear	Culture of fear
adobe after effects plugins	Adobe After Effects
religious bubble	Filter bubble
origins of universe	Cosmogony
ionized water	Water ionizer
mixed economies	Mixed economy
targetted advertising	Targeted advertising
away colors	Away colours
pilot weather balloon	Ceiling balloon
runtime dead code elimination	Dead code elimination
hydrologic evaluation of landfill performance	Hydrologic Evaluation of Landfill Performance
lathyrus japonicus	Lathyrus japonicus
equivalents of duke outside europe	Non-European royal and noble ranks
media room	Media room
population fragmentation	Population fragmentation
joint popping	Cracking joints
geographically reference	Georeferencing
allium niveum	Allium subhirsutum
commercial warfare	Economic warfare
potash salt	Potash
double blind procedure	Blinded experiment
carver matrix	Carver matrix
engadget hd	Engadget
video game rehabilitation	Video game rehabilitation
climbing animals	Arboreal locomotion
lightning beetle	Firefly
vaginal deodorant	Deodorant
coup d'étât	Coup d'état
dongfeng hummer	Dongfeng EQ2050
soxhlet apparatus	Soxhlet extractor
church of israel	Church of Israel
emesene helmet	Emesa helmet
pre-alpha software	Software release life cycle
histologic stain	Staining
atjeh-class cruiser	Atjeh-class cruiser
pressurized hot water extraction	Superheated water
body lift	Body lift
disease eradication	Eradication of infectious diseases
glass window	Window
comparative ethics	Descriptive ethics
on-site sewer system	Onsite sewage facility
spoken word recognition	Speech recognition
equalising beam	Equalising beam
stokes drift velocity	Stokes drift
first variation	First variation
song format	Timeline of audio formats
975 area code	List of future North American area codes
list of most expensive cars	List of most expensive cars sold at auction
trending topic	Twitter
victor boot	Viktor Bout
kindle audio adapter	Amazon Kindle
gifu umbrellas	Gifu umbrellas
suicide gene	Suicide gene
changeable tree toad	Gray treefrog
differential analyser	Differential analyser
wing of nose	Human nose
gross vehicular weight rating	Vehicle weight
cycle of stars	Stellar evolution
mammary carcinoma	Breast cancer
optical tweezers	Optical tweezers
body forces	Body force
nines accuracy	High availability
covalently bonding	Covalent bond
water rights law	Water resources law
recycling paper	Paper recycling
turning signal	Automotive lighting
tennel's test	Tinel's sign
carbohydrate conformation	Carbohydrate conformation
oschenfeld effect	Meissner effect
robotic motion sensor	Robotic sensing
stenanthium leimanthoides	Stenanthium leimanthoides
assault troops	Shock troops
consumer discretionary	Luxury goods
triple negative	Double negative
truncated order-5 hexagonal honeycomb	Order-5 hexagonal tiling honeycomb
noble amateur	The Cult of the Amateur
forrestal class	Forrestal-class aircraft carrier
mattress pad	Mattress pad
commodore 64 music	MOS Technology 6581
modern didgeridoo designs	Modern didgeridoo designs
kronshtadt-class submarine chaser	Kronshtadt-class submarine chaser
code page 28606	ISO/IEC 8859-16
forwarding department	Bindery
abalakov thread	Abalakov thread
table of historical maps	List of historical maps
four alarm fire	Multiple-alarm fire
general formal ontology	General formal ontology
dragon boat	Dragon boat
behavioral modification technique	Behavior modification
paradigm case argument	Paradigm case argument
paški baškotin	Paški baškotin
oasis class	Oasis-class cruise ship
rydberg spectroscopy	Rydberg ionization spectroscopy
process analytical chemistry	Process analytical chemistry
trump's relationship to truth	Veracity of statements by Donald Trump
software patents directive	Proposed directive on the patentability of computer-implemented inventions
blower fan	Centrifugal fan
fifth crusade	Fifth Crusade
shaving horse	Shaving horse
single-speed cyclists	Single-speed bicycle
nuclear particle	Nucleon
ghost artist	Ghostwriter
thermoacoustic heat pump and refrigeration	Thermoacoustic heat engine
hansson pin	List of orthopedic implants
bahá'í calendar	Baháʼí calendar
hard magnet	Coercivity
isolation mount	Shock mount
40 principles of invention	40 principles of invention
asymmetric typography	Jan Tschichold
galilean symmetry	Galilean transformation
race traitor	Race traitor
certification listing	Certification listing
secondary scientific literature	Secondary source
lifestyle marketing	Lifestyle brand
belle experiment	Belle experiment
citronellal hydrate	Hydroxycitronellal
children's television	Children's television series
qualitative property	Qualitative property
treg17 cells	T helper 17 cell
stockholm ring road	Stockholm Ring Road
moment of inertia--cone	List of moments of inertia
sprayed in place pipe	Sprayed in place pipe
tickless kernel	Tickless kernel
shaved doors	Shaved doors
blossom algorithm	Blossom algorithm
particle accelerator test	Particle accelerator
orbital lamina of ethmoid bone	Orbital lamina of ethmoid bone
corrugated fibreboard	Corrugated fiberboard
right to internet access	Right to Internet access
promotional model	Promotional model
wu's method	Wu's method of characteristic set
type 10 grenade	Type 10 grenade
detached houses	Single-family detached home
aubergine parmigiana	Parmigiana
splinted armour	Splint armour
online social networking	Social networking service
fau bordon	Fauxbourdon
miyata plant	Toyota Motor Kyushu
time dialation	Time dilation
breech-loading firearms	Breechloader
birds of north america	List of birds of North America
plastic sequence	Plastic number
lumia 650	Microsoft Lumia 650
noms de guerre	Pseudonym
renal column	Renal column
microscopic analysis	Microscopy
f2 hybrid	F1 hybrid
gnezdovo burial mounds	Gnezdovo
helianthus jaegeri	Helianthus annuus
lettered road	Route number
enchan script	Encantadia
principle of conservation of mass	Conservation of mass
carmine high tint	Carmine
aluminium compounds	Aluminium
spot network	Spot network substation
humanae vitae	Humanae vitae
list of interplanetary voyages	List of interplanetary voyages
microlensing event	Gravitational microlensing
hydrographic chart	Nautical chart
botanical nomenclature	Botanical nomenclature
solar thermal power	Concentrated solar power
mushkin ram	Mushkin
caratheodory's principle	Second law of thermodynamics
golf tees	Tee
olympic symbols	Olympic symbols
null terminating character	Null character
seed crystal	Seed crystal
asymmetric multiprocessing	Asymmetric multiprocessing
turkic runes	Old Turkic script
social science	Social science
head-on generation	Head-end power
air battle	Air combat manoeuvring
prehistoric ocean	List of ancient oceans
patentability of computer-related inventions	Software patent
poliomyelitis vaccines	Polio vaccine
millgram experiment	Milgram experiment
offline editing	Offline editing
inkjet spittoon	Inkjet spittoon
resource recovery	Resource recovery
taiko drum	Taiko
cloaking devices metamaterial	Metamaterial cloaking
meteorite collecting	Meteorite
sunflower butter	Sunflower butter
e-stewards initiative	E-Stewards
chwolson ring	Einstein ring
oxyntic cells	Parietal cell
musée du slip	Underwear Museum
beutler fluorescent spot test	Beutler test
page charge	Article processing charge
image silo	Clipping path
spacecraft docking and berthing mechanism	Docking and berthing of spacecraft
b6393 road	B roads in Zone 6 of the Great Britain numbering scheme
brand building site	Website
action spectrum	Action spectrum
heim quantum theory	Heim theory
acoustic ukulele	Electric ukulele
music catalogue	Catalogues of classical compositions
earth sciences	Earth science
zone defense	Zone defense
center for history and new media	Roy Rosenzweig Center for History and New Media
canary seed	Canary grass
neural security	Neurosecurity
minimal synth	Minimal wave
indigenous feminists	Indigenous feminism
dot pictograms	DOT pictograms
buy followers	Ghost followers
square/rectangle relationship	Hyponymy and hypernymy
memory vessel	Memory jug
geometry in architecture	Architectural geometry
antibodies from lymphocyte secretions	Antibodies from lymphocyte secretions
unterseeboot 2347	List of German Type XXIII submarines
human-centred design	Human-centered design
plaque psoriasis	Psoriasis
disruptive solutions process	Disruptive solutions process
process identifier	Process identifier
humane law enforcement officer	Humane law enforcement
rifle rack	Firearm rack
tyrosine kinase 2	Tyrosine kinase 2
electric heat tracing	Trace heating
road traffic analysis	Traffic flow
breast discharge	Nipple discharge
dopamine hypothesis of stuttering	Dopamine hypothesis of stuttering
mine countermeasures ship	Mine countermeasures vessel
3-hydroxycyclopent-1-enecarboxylic acid	HOCPCA
white blood cell scan	Indium-111 WBC scan
day beacon	Day beacon
teamwork skill	Teamwork
unit clause	Unit propagation
molonglo radio telescope	Molonglo Observatory Synthesis Telescope
state-run economy	Planned economy
brain-specific homeobox	Brain-specific homeobox
beslan charity efforts	Beslan school siege
fuel-efficiency standards	Vehicle emission standard
twilight princess	The Legend of Zelda: Twilight Princess
network interface	Network interface
metal acetylide	Acetylide
abstract numbers	Concrete number
citizen cyber police	Internet vigilantism
scent bottle lock	Alexander John Forsyth
tarrafal concentration camp	Tarrafal concentration camp
carnival mirror	Distorting mirror
banach contraction mapping principle	Banach fixed-point theorem
forward control	Cab over
pope conspiracy	Prophecy of the Popes
pars superior duodeni	Duodenum
naked adsl	Naked DSL
narrative techniques pertaining to perspective	List of narrative techniques
triacetone peroxide	Acetone peroxide
vehicular accident	Traffic collision
metsovone cheese	Metsovone
plato's ontology	Theory of forms
triple crown of motor racing	Triple Crown of Motorsport
drag racer	Drag racing
linear algebra	Linear algebra
implicit parallelization	Implicit parallelism
forgery law	Forgery
wizard wands	Wand
list of decorative stones	List of decorative stones
gliese 86 b	Gliese 86 b
cockayne syndrome type 1	Cockayne syndrome
cocoa pod	Theobroma cacao
breath analyser	Breathalyzer
wallace multiplier	Wallace tree
proportional fonts	Typeface
html codes	Character encodings in HTML
exterior covariant derivative	Exterior covariant derivative
nao can ti	Martian language
mindmap program	List of concept- and mind-mapping software
ipod photo	IPod Classic
tuvan akşa	Tuvan akşa
atmospheric optical phenomenon	Atmospheric optics
bachelor griller	Bachelor griller
inoculation theory	Inoculation theory
pribnow box	Pribnow box
heisenberg's inequality	Uncertainty principle
one-way sign	One-way traffic
pharmaceutical drug	Medication
tape library	Tape library
hypo helmet	Hypo helmet
dracontium foetidum	Symplocarpus foetidus
certicom corporation	BlackBerry Limited
robot replication	Self-replicating machine
thyroid eye disease	Graves' ophthalmopathy
wave theory of light	Light
climate change education	Climate change education
order-8-6 triangular honeycomb	Order-8-3 triangular honeycomb
codepage 819	ISO/IEC 8859-1
bagging area	Self-checkout
chastity tube	Chastity belt
electrical resonance	Electrical resonance
gts summit	Celebrity Summit
boiled frog	Boiling frog
canon anti-aerien de 75mm modele 1939	Canon de 75 CA modèle 1940 Schneider
directly elected	Direct election
nurenburg trials	Nuremberg trials
digital labor	Digital labor
ortolani maneuver	Ortolani test
aspect-oriented software	Aspect-oriented software development
bicol alphabet	Baybayin
mast-aft rig	Mast-aft rig
lottery scam	Lottery scam
aspect-oriented software development	Aspect-oriented software development
dark-skinned people	Dark skin
pastel azteca	Pastel azteca
binary cutter location	Cutter location
bridge jumping	BASE jumping
galloping gangrene	Necrotizing fasciitis
structural neuroimaging	Neuroimaging
multimode dispersion	Modal dispersion
bituminous surfaced	Asphalt
colossal olive	Olive
1375 in poetry	1370s in poetry
electric ukulele	Electric ukulele
devil's cucumber	Datura
radiotelephony alphabet	Spelling alphabet
knowledge space	Knowledge space
angle sum of polygon	Internal and external angles
stapled trans-anal rectal resection	Rectal prolapse
annapolis destroyer	Town-class destroyer
reciprocal translocation	Chromosomal translocation
luis von ahn	Luis von Ahn
atmospheric mining	Atmospheric mining
physical rendering	Cinema 4D
analysis of competing hypotheses	Analysis of competing hypotheses
fiber breakout	Fiber cable termination
leaky feeder	Leaky feeder
effect of oxygen on chronic obstructive pulmonary disease	Effect of oxygen on chronic obstructive pulmonary disease
malaria prevention	Malaria
unicode fractions	Number Forms
three colour drink	Chè
electric impedance	Electrical impedance
range lights	Leading lights
brazilian real	Brazilian real
brushing and linking	Brushing and linking
banco do sul	Bank of the South
shot tower	Shot tower
mesangial proliferative lupus nephritis	Mesangial proliferative glomerulonephritis
level boarding	Passenger rail terminology
original screenplay	Screenplay
polar ecosystem	Polar ecology
magnetic inequivalence	Magnetic inequivalence
columnar organisation	Cortical column
margins of pancreas	Pancreas
tax horsepower	Tax horsepower
separation event	Multistage rocket
spoon rest	Spoon rest
government public relations	Public relations
hack workers	Hack writer
crash diets	Dieting
multiclass network	Kelly network
military strategist	Military strategy
social construct	Social constructionism
kepler's law of periods	Kepler's laws of planetary motion
guinness world records gamers edition	Guinness World Records
blum axioms	Blum axioms
infection prevention	Infection prevention and control
stand off weapons	Standoff missile
sarah blackwood	Sarah Blackwood
anthropometric cosmetology	Anthropometric cosmetology
fibre-optic gyroscope	Fibre-optic gyroscope
fire flapper	Fire flapper (tool)
applications manager	Operating environment
dean number	Dean number
conservation priority	Conservation biology
volcanic winter	Volcanic winter
structural stability	Structural stability
calabar swelling	Loa loa filariasis
temperature salinity diagram	Temperature–salinity diagram
yellowcake uranium	Yellowcake
military alphabet	NATO phonetic alphabet
columbia-class cruiser	Columbia-class cruiser
civic heraldry	Civic heraldry
40-step stairway	40-step stairway
explosive rat	Explosive rat
phase detection autofocus	Autofocus
armillaria sinapina	Armillaria sinapina
cooperative society	Cooperative
boots pharmacy	Boots (company)
film awards seasons	Film awards seasons
nimbostratus virga	Nimbostratus virga
spatial normalization	Spatial normalization
triple bottom omega baryon	Omega baryon
pediatric exclusivity	Food and Drug Administration
pontic steppes	Pontic–Caspian steppe
list of commercial video games with available source code	List of commercial video games with available source code
smith's amanita	Amanita smithiana
laser television	Laser TV
blind deconvolution	Blind deconvolution
ore carrier	Bulk carrier
amateur radio international operation	Amateur radio international operation
sentinel lymph node	Sentinel lymph node
tachyonic particle	Tachyon
social model	Social welfare model
bmw motorcycle owners	BMW Motorcycle Owners of America
automatic distance regulator	Adaptive cruise control
barnett effect	Barnett effect
bennu asteroid	101955 Bennu
list of color palettes	List of color palettes
fire helicopter	Helitack
semiaquatic tetrapod	List of semiaquatic tetrapods
josephson vortices	Josephson vortex
arsenate-reducing bacteria	Arsenate-reducing bacteria
central dense overcast	Central dense overcast
lingula pulmonis	Lung
bubble study	Contrast-enhanced ultrasound
pharyngeal spine	Pharyngeal tubercle
paperback books	Paperback
braille pattern dots-2	Braille pattern dots-2
jejunostomy feeding tube	Feeding tube
interrupt request	Interrupt request (PC architecture)
hollow face	Hollow-Face illusion
artificial lift	Artificial lift
production fluid	Production fluid
sound recordist	Sound recording and reproduction
offstage backup vocalist	Offstage musicians and singers in popular music
stylomastoid foramina	Stylomastoid foramen
fuel alternatives	Alternative fuel
flame can	Combustor
wraparound program	Interstitial television show
control valve	Control valve
shaving gel	Shaving cream
list of robotics simulators	Robotics simulator
paraphilia related disorders	Hypersexuality
nokia 6150	Nokia 6150
option key	Option key
solar system formation	Formation and evolution of the Solar System
symmetric operator	Self-adjoint operator
list of post-disco artists	List of post-disco artists and songs
256 colors	8-bit color
circumcision and law	Circumcision and law
true colors	True Colors
inositol phosphate metabolism	Inositol phosphate
total organic carbon	Total organic carbon
collagen glue	Animal glue
loop inversion	Loop inversion
ensco plc	Valaris plc
toxic sign	Hazard symbol
convexal subarachnoid hemorrhage	Subarachnoid hemorrhage
big screen television technology	Large-screen television technology
mahō shōjo	Magical girl
pounds per square foot	Pounds per square inch
polianthes tuberosa	Agave amica
jelly bracelet	Gel bracelet
lame's stress ellipsoid	Lamé's stress ellipsoid
mccumber cube	McCumber cube
upward compatible	Forward compatibility
vine-training system	Vine training
data exhaust	Data exhaust
writing pad	Notebook
benzine hexachloride	Lindane
parmigiana di melanzane	Parmigiana
oil from coal	Coal liquefaction
beet sugar	Sugar beet
outer potential difference	Volta potential
cartographic coordinates	Grid reference system
nucleus incertus	Nucleus incertus
order-infinite-6 triangular honeycomb	Order-infinite-3 triangular honeycomb
latent energy	Latent heat
russian spring-summer encephalitis	Tick-borne encephalitis
next-generation secure computing base	Next-Generation Secure Computing Base
convex span	Convex hull
verbal autopsy	Verbal autopsy
fitted for but not with	For but not with
long-bolt engine	Long-bolt engine
evaporative light scattering detection	Evaporative light scattering detector
mosaic image	Photographic mosaic
vapour-liquid equilibrium	Vapor–liquid equilibrium
dance-class armed trawler	Dance-class trawler
public bicycle rental	Bicycle-sharing system
chip foundry	Semiconductor fabrication plant
double-sided hammering	Row hammer
dark current spectroscopy	Dark current spectroscopy
piperidinic acid	Gamma-Aminobutyric acid
magnetic field of celestial bodies	Magnetosphere
21cm radiation	Hydrogen line
maximum credible accident	Design-basis event
vaccine-associated feline sarcoma	Vaccine-associated sarcoma
type 037-class submarine chaser	Type 037 corvette
plowshares movement	Plowshares movement
flat screen	Flat-panel display
cd11c antigens	Integrin alpha X
class switching	Immunoglobulin class switching
splash pad	Splash pad
charging point	Charging station
renewable fuels	Renewable fuels
german type xiv submarine	Type XIV submarine
a-weighting curve	A-weighting
lavatory paper	Toilet paper
limbal nodule	Limbal nodule
wine production	Winemaking
enterprise file synchronization and sharing	Enterprise file synchronization and sharing
land trust	Land trust
lusitanian distribution	Disjunct distribution
security vulnerability	Vulnerability (computing)
luminous power	Luminous flux
semantic query	Semantic query
semi-empirical quantum chemistry method	Semi-empirical quantum chemistry method
slashdot trolling phenomena	Slashdot
manstopper pistol	Stopping power
conditional operator	Conditional operator
concentric eyewall	Eyewall replacement cycle
field gradient	Electric field gradient
rimed snow	Rimed snow
sexually antagonistic co-evolution	Sexual conflict
pattern search	Pattern search
source code transformation	Program transformation
film photograph	Photographic film
smart object	Smart object
bicycle ramp	Bicycle stairway
wine proteins	Proteins in wine
jboss seam	JBoss Seam
combat capabilities development command	United States Army Combat Capabilities Development Command
confined groundwater	Groundwater
serum hepatitis	Hepatitis B
energy saving light	Compact fluorescent lamp
norma arm	Norma Arm
conwy railway bridge	Conwy Railway Bridge
defensible space theory	Defensible space theory
tris-buffered saline	Tris-buffered saline
arrow's theorem	Arrow's impossibility theorem
in between move	Zwischenzug
inverse dynamics	Inverse dynamics
bass amp heads	Bass amplifier
taplitumomab paptox	Taplitumomab paptox
low-level injection	Low-level injection
adrenaline junky	Adrenaline
compound fact	Fact
korg electribe	Electribe
constantine's donation	Donation of Constantine
hottap machine	Tap and die
three-dimensional facial reconstruction	Forensic facial reconstruction
physical address extension	Physical Address Extension
skew coordinates	Skew coordinates
difference tone	Combination tone
packed encoding rules	ASN.1
sonic cavitation	Cavitation
aircraft piston engine	Aircraft engine
proper part	Mereology
anti-submarine warfare	Anti-submarine warfare
luxury items	Luxury goods
outer bailey	Outer bailey
socially distributed cognition	Distributed cognition
tangible user interface	Tangible user interface
grease pit	Automobile repair shop
anti-submarine rocket	Anti-submarine missile
seismic mass	Proof mass
faery star	Heptagram
marine technician	Marine technology
barton's pendulums	Barton's pendulums
zlib-libpng license	Zlib License
bánh khoai mì hấp	Bánh khoai mì
articulatio subtalaris	Subtalar joint
jewish views on love	Jewish views on love
volume ratio	Volume fraction
medium pressure liquid chromatography	Column chromatography
cake doughnut	Doughnut
labor unrest	Labour revolt
kinesio tex tapes	Elastic therapeutic tape
octagon architecture	Octagon house
list of seaplane operators	List of seaplane operators
straight-line motion	Linear motion
founding legend	Origin myth
cerebral vessel	Cerebral circulation
stop and stun shots	Cue sports techniques
low altitude	Altitude
effect of sun angle on climate	Effect of Sun angle on climate
kaizen event	Kaizen
nervus glossopharyngeus	Glossopharyngeal nerve
contact form	Contact geometry
horizontal hold	Analog television
electrical cables	Electrical wiring
event horizon	Event horizon
hydroxide ion exchange fuel cells	Alkaline anion exchange membrane fuel cell
initial letter effect	Name-letter effect
literary theorist	Literary theory
granulosa cell hypogenesis	Follicle-stimulating hormone insensitivity
six string banjo	Banjo guitar
inflation of conflict	List of fallacies
reliability theory of aging	Reliability theory of aging and longevity
cashier's check	Cashier's check
drift-diffusion equation	Convection–diffusion equation
steel sculpture	Sculpture
channel 13	Channel 13
triple alpha	Triple-alpha process
lifesize communications	Lifesize
scratch disk	Scratch space
spherical distance	Great-circle distance
stakan granyonyi	Faceted glass
integrated circuit	Integrated circuit
1 weird old tip	One weird trick advertisements
extended shinjitai	Extended shinjitai
well drilling fluid	Drilling fluid
ten gallon hat	Cowboy hat
ammonium dichromate	Ammonium dichromate
activity-centered ergonomics	Activity-centered ergonomics
erdös number	Erdős number
full dress	Western dress codes
slab tailplane	Stabilator
tree surgery	Arboriculture
speech syntheses	Speech synthesis
common coding theory	Common coding theory
selenium dioxydifluoride	Selenoyl fluoride
water splitting	Water splitting
male wire	Gender of connectors and fasteners
twinkle bulb	Twinkle bulb
defensive weapon	Self-defense
anvil studio	Anvil Studio
process architecture	Process architecture
historic aircraft	Antique aircraft
full-size automobile	Full-size car
just following orders	Superior orders
service-oriented provisioning	Service-oriented provisioning
robot soccer	Soccer robot
test tube baby	In vitro fertilisation
orchestral stab	Orchestra hit
healing stone	Crystal healing
illegal search and seizure	Search and seizure
salted fish	Salted fish
branch prediction	Branch predictor
packard motors	Packard
control table	Control table
gear rack	Rack and pinion
polar vortex	Polar vortex
compassionate investigational new drug program	Expanded access
