term,annotation,df
nf-kappab sites,DNA,jnlpba
wild-type or mutant kappab sites,DNA,jnlpba
ikappab-alpha proteins,protein,jnlpba
hdl-cholesterol,protein,jnlpba
beta-lipoproteins,protein,jnlpba
shbg,protein,jnlpba
t3,protein,jnlpba
t4,protein,jnlpba
interleukin-10-stimulated stat molecules,protein,jnlpba
il-10- and ifn-gamma-activated stat molecules,protein,jnlpba
il-10-activated stat1,protein,jnlpba
gas-motif sequence,DNA,jnlpba
fcgamma receptor,protein,jnlpba
cox-2 gene,DNA,jnlpba
ifn-gamma-activated stat1,protein,jnlpba
newly synthesized protein,protein,jnlpba
gas-motif sequences,DNA,jnlpba
hla-dq,DNA,jnlpba
hsv-2 vp16 protein,protein,jnlpba
position 442,protein,jnlpba
apc culture,cell_line,jnlpba
mhc-peptide complexes,protein,jnlpba
ets transcription factors,protein,jnlpba
third intron,DNA,jnlpba
raw264.7 macrophage-like cells,cell_line,jnlpba
cat protein,protein,jnlpba
conserved 20-bp sequence,DNA,jnlpba
dominant-negative ets-binding factor,protein,jnlpba
ets transcription factor binding sites,DNA,jnlpba
raw264.7 cells,cell_line,jnlpba
bone marrow-derived macrophages,cell_line,jnlpba
transgenic megakaryocytes,cell_type,jnlpba
activate genes,DNA,jnlpba
susceptibility gene,DNA,jnlpba
megakaryocyte growth and development factor,protein,jnlpba
megakaryocyte,cell_type,jnlpba
susceptibility genes,DNA,jnlpba
5q31.1,DNA,jnlpba
major susceptibility gene,DNA,jnlpba
th2 cell,cell_line,jnlpba
atopy gene,DNA,jnlpba
il-4 regulatory elements,DNA,jnlpba
il-4-positive t cells,cell_type,jnlpba
oap40 element,DNA,jnlpba
activated human t lymphocytes,cell_type,jnlpba
monocyte interleukin-1 receptor,protein,jnlpba
human monocyte il-1 receptor antagonist ( il-1ra ) messenger ribonucleic acid,RNA,jnlpba
il-1ra mrna,RNA,jnlpba
il-1ra protein,protein,jnlpba
cultured monocytes,cell_line,jnlpba
mineralocorticoid receptor mrna,RNA,jnlpba
reversed transcribed rna,RNA,jnlpba
72-kilodalton major immediate-early protein,protein,jnlpba
cd8 ( + ) -t-cell epitopes,protein,jnlpba
pp65 phosphoprotein,protein,jnlpba
cd8 ( + ) t cells,cell_type,jnlpba
72-kda major immediate-early protein,protein,jnlpba
ie-1,protein,jnlpba
491-amino-acid sequence,protein,jnlpba
hla molecule,protein,jnlpba
pp65,protein,jnlpba
e1a oncogene,DNA,jnlpba
cytolytic lymphocytes,cell_type,jnlpba
cls,cell_type,jnlpba
"mouse , rat , hamster , and human cells",cell_type,jnlpba
e1a-positive cells,cell_type,jnlpba
e1a-negative cells,cell_type,jnlpba
e1a-positive sarcoma cells,cell_type,jnlpba
cellular transcriptional coactivator,protein,jnlpba
p300,protein,jnlpba
tumor-suppressor genes,DNA,jnlpba
aids iblp-associated cdna fragments,DNA,jnlpba
tcl1,protein,jnlpba
b cell tumor lines,cell_line,jnlpba
mantle zone b cells,cell_type,jnlpba
interfollicular zone cells,cell_type,jnlpba
follicle-center b cells,cell_type,jnlpba
centroblasts,cell_type,jnlpba
centrocytes,cell_type,jnlpba
quiescent mantle zone b cells,cell_type,jnlpba
germinal center follicular b cells,cell_type,jnlpba
nonproliferating b cells,cell_type,jnlpba
naive preactivated b cells,cell_type,jnlpba
natural ligand cd80,protein,jnlpba
soluble factor,protein,jnlpba
epstein-barr virus latency bamhi-q promoter,DNA,jnlpba
zta,protein,jnlpba
bamhi-q promoter,DNA,jnlpba
ebv-encoded nuclear antigen ( ebna ) -1,protein,jnlpba
qp-cat reporter,DNA,jnlpba
signal transducer and activator of transcription ( stat ) proteins,protein,jnlpba
stat-binding sites,DNA,jnlpba
janus kinase ( jak ) -1,protein,jnlpba
burkitt 's lymphoma rael cells,cell_line,jnlpba
cultured nasopharyngeal carcinoma ( npc ) cells,cell_type,jnlpba
ebv-positive npc cell lines,cell_line,jnlpba
npc cell line hk666,cell_line,jnlpba
bzlf1,DNA,jnlpba
fibre-exposed monocytes,cell_line,jnlpba
cytokine-mrna,RNA,jnlpba
co-cultured bronchial epithelial cells,cell_line,jnlpba
beas-2b,cell_line,jnlpba
bronchial epithelial cells,cell_type,jnlpba
co-cultured blood monocytes,cell_type,jnlpba
bm,cell_type,jnlpba
beas-2b cells,cell_line,jnlpba
beas-2b cells,cell_type,jnlpba
co-cultured bm,cell_line,jnlpba
"il-1beta- , il-6- and tnf-alpha-mrna",RNA,jnlpba
cytokine-specific mrna,RNA,jnlpba
nfat-1 element,DNA,jnlpba
cd8+ t lymphocytes,cell_type,jnlpba
herpesvirus saimiri ( hvs ) -transformed cd8+ t cell clone,cell_line,jnlpba
nf kappa b or sp-1 elements,DNA,jnlpba
cd8+ t cell,cell_type,jnlpba
interleukin ( il ) -2 homology nfat-1 region,DNA,jnlpba
nfat-1 mutant ltr,DNA,jnlpba
nf kappa b elements,DNA,jnlpba
nf kappa b enhancer,DNA,jnlpba
redox sensitive cytosolic transcription factor,protein,jnlpba
( nf ) -kappa b,protein,jnlpba
peroxide sensitive human wurzburg t-cells,cell_line,jnlpba
endothelial adhesion molecule,protein,jnlpba
endothelial adhesion molecules,protein,jnlpba
vascular cell adhesion molecule 1,protein,jnlpba
human immunodeficiency virus-infected monocytes,cell_type,jnlpba
macrophage,cell_type,jnlpba
protein kinase c ( pkc ) isoenzymes,protein,jnlpba
pkc isoenzymes,protein,jnlpba
pkc-zeta mut,protein,jnlpba
pkc-zeta ( mut ),protein,jnlpba
p24,protein,jnlpba
hiv-infected human macrophages,cell_type,jnlpba
atypical pkc isoenzymes,protein,jnlpba
bcl-x ( l ),protein,jnlpba
human t-cell leukemia virus type 1 tax,protein,jnlpba
apoptosis-resistant t-cell transfectants,cell_line,jnlpba
mouse t-cell line ctll-2,cell_line,jnlpba
bcl-xs,protein,jnlpba
ctll-2 cells,cell_line,jnlpba
bcl-x promoter,DNA,jnlpba
wild-type tax,protein,jnlpba
putative nf-kappab binding site,protein,jnlpba
nf-kappab-like element,DNA,jnlpba
nf-kappab family proteins,protein,jnlpba
mutant ikappabalpha,protein,jnlpba
5'hs3,DNA,jnlpba
5'hs2,DNA,jnlpba
tata boxes,DNA,jnlpba
beta-globin-expressing murine erythroid leukemia cells,cell_type,jnlpba
gamma-globin-expressing k562 cells,cell_line,jnlpba
murine erythroid leukemia cells,cell_type,jnlpba
5'hs,DNA,jnlpba
osteoclastogenic cytokine tnf-alpha,protein,jnlpba
estrogen receptor beta,protein,jnlpba
erbeta,protein,jnlpba
jun nh ( 2 ) -terminal kinase,protein,jnlpba
nh ( 2 ) -termini,protein,jnlpba
c-jun and jund genes,DNA,jnlpba
c-jun/c-fos,protein,jnlpba
jund/c-fos heterodimers,protein,jnlpba
ap-1 consensus sequence,DNA,jnlpba
tnf promoter,DNA,jnlpba
murine t cells,cell_type,jnlpba
allogen-specific human cd4+ t cell lines,cell_line,jnlpba
src kinase inhibitor,protein,jnlpba
human cd4+ t cells,cell_type,jnlpba
human mammary epithelial cells,cell_type,jnlpba
cdna microarrays,DNA,jnlpba
coexpressed genes,DNA,jnlpba
mammary epithelial cells,cell_type,jnlpba
cultured cells,cell_type,jnlpba
stromal cells,cell_type,jnlpba
ppargamma,protein,jnlpba
adipocyte fatty acid binding protein gene,DNA,jnlpba
peroxisome-proliferator activated receptor gamma,protein,jnlpba
nuclear receptor superfamily,protein,jnlpba
ligand activated transcription factors,protein,jnlpba
adipocyte fatty acid binding protein,protein,jnlpba
adipocyte,cell_type,jnlpba
foam cells,cell_type,jnlpba
ap2 mrna,RNA,jnlpba
adipocytes .,cell_type,jnlpba
calcium/calmodulin-dependent serine/threonine phosphatase,protein,jnlpba
phosphorylation sites,DNA,jnlpba
stress-activated protein kinases,protein,jnlpba
mitogen-activated protein kinases,protein,jnlpba
b cell-associated surface molecule,protein,jnlpba
downstream effectors,protein,jnlpba
phosphatidylinositol-3-kinase,protein,jnlpba
pi-3 kinase,protein,jnlpba
sapk,protein,jnlpba
sapks,protein,jnlpba
mitogen-activated protein kinase family,protein,jnlpba
c-jun but not c-fos mrna,RNA,jnlpba
atf2,protein,jnlpba
raf-1 protein,protein,jnlpba
t-cell antigen receptor-cd3 complex,protein,jnlpba
tyrosine phosphorylation,protein,jnlpba
cd45- or cd3-negative variants,cell_line,jnlpba
jurkat leukemic t-cell line,cell_line,jnlpba
shc,protein,jnlpba
-cd3 ( tcr-cd3 ) complex,protein,jnlpba
nb4 leukemia cells,cell_line,jnlpba
"1alpha , 25-dihydroxy-lumisterol3 ( jn ) prime nb4 cells",cell_line,jnlpba
nuclear vitamin d receptor,protein,jnlpba
vdrnuc,protein,jnlpba
pkc alpha,protein,jnlpba
pkc delta,protein,jnlpba
calpain,protein,jnlpba
calcium-dependent protease,protein,jnlpba
molecular markers,protein,jnlpba
nuclear receptors,protein,jnlpba
human t-cell lymphotrophic virus type-i tax gene,DNA,jnlpba
human macrophage inflammatory protein-1alpha,protein,jnlpba
mip-1alpha,protein,jnlpba
tax transfected jurkat cell line,cell_line,jnlpba
mip-1alpha-r mrna,RNA,jnlpba
htlv-i infected t-cells,cell_type,jnlpba
pma/pha stimulated tax transfected cells,cell_line,jnlpba
mip-1alpha gene,DNA,jnlpba
arthrogenic autoantigen,protein,jnlpba
epitope,protein,jnlpba
hla-dr chain,protein,jnlpba
hla-dr4,protein,jnlpba
dr1,protein,jnlpba
autoreactive t cells,cell_type,jnlpba
circulating dendritic cells,cell_type,jnlpba
normal peripheral blood ( pb ) dc,cell_type,jnlpba
perivascular dc,cell_type,jnlpba
b cell follicles,cell_type,jnlpba
follicular dc,cell_type,jnlpba
monocyte-derived cytokines,protein,jnlpba
cd40-ligand+ t cells,cell_type,jnlpba
monocyte-derived dc,cell_type,jnlpba
self-antigen,protein,jnlpba
autoantibody-producing b cells,cell_type,jnlpba
epithelial cell,cell_type,jnlpba
mature cd4 ( + ) cd8 ( - ) cd3 ( + ) thymocytes,cell_type,jnlpba
tec,cell_type,jnlpba
t-tropic primary isolate hiv-1,protein,jnlpba
b-laip,protein,jnlpba
cd4 ( + ) cd8 ( - ) cd3 ( + ) thymocytes,cell_type,jnlpba
p75 tnf receptor,protein,jnlpba
intermediate cd4 ( + ) cd8 ( - ) cd3 ( - ) thymocytes,cell_type,jnlpba
freshly isolated thymocytes,cell_type,jnlpba
intermediate thymocyte cultures,cell_line,jnlpba
cd4 receptor,protein,jnlpba
double-positive ( dp ) cd4 ( + ) cd8 ( + ) cd3 ( +/- ) thymocytes,cell_type,jnlpba
cd4 ( + ) subpopulations,cell_type,jnlpba
mature cd4 ( + ) cd8 ( - ) cd3 ( + ) subset of thymocytes,cell_type,jnlpba
intermediate thymocyte compartment,cell_type,jnlpba
nf-kappab-mediated up-regulation,cell_type,jnlpba
bcl-x,protein,jnlpba
bfl-1/a1,protein,jnlpba
cd40-regulated antiapoptotic molecule,protein,jnlpba
antiapoptotic molecule,protein,jnlpba
a1/bfl-1,protein,jnlpba
cd40-inducible gene,DNA,jnlpba
bfl-1,protein,jnlpba
nf-kappab-binding sequence,DNA,jnlpba
bcl-x protected b cells,cell_type,jnlpba
bcl-2 family members,protein,jnlpba
eosinophil granule major basic protein,protein,jnlpba
interleukin ( il ) -8,protein,jnlpba
eosinophil peroxidase,protein,jnlpba
il-8 messenger rna,RNA,jnlpba
macrophage inflammatory protein ( mip ) -1alpha,protein,jnlpba
mip-1beta,protein,jnlpba
eosinophil granule proteins,protein,jnlpba
mtcp1/c6.1b,DNA,jnlpba
non-leukaemic t cells,cell_type,jnlpba
chromosome translocations,DNA,jnlpba
translocation cells,cell_type,jnlpba
14q32,DNA,jnlpba
c6.1b/mtcp1 a1 transcript,protein,jnlpba
at-xq28,DNA,jnlpba
leukaemic t cells,cell_type,jnlpba
preleukaemic clone cells,cell_type,jnlpba
b1 transcript,RNA,jnlpba
mtcp1,DNA,jnlpba
mtcp1/a1 transcript,RNA,jnlpba
tumour and non tumour cells,cell_type,jnlpba
sex-binding globulin,protein,jnlpba
immunocytes,cell_type,jnlpba
hormonocytes,cell_type,jnlpba
g-protein-coupled chemoattractant receptors,protein,jnlpba
leukocyte chemoattractants,protein,jnlpba
g-protein-coupled serpentine receptors,protein,jnlpba
g-protein,protein,jnlpba
protein kinases,protein,jnlpba
calcium-mobilizing receptors,protein,jnlpba
nuclear factor of activated t cells ( nfat ) -dependent genes,DNA,jnlpba
calcineurin docking motif,protein,jnlpba
endogenous cytokine genes,DNA,jnlpba
calcineurin docking site,protein,jnlpba
-nfat,protein,jnlpba
monocyte chemoattractant protein-1,protein,jnlpba
human monocytic thp-1 cells,cell_type,jnlpba
extracellular receptors,protein,jnlpba
nuclear hormone receptor retinoid x receptor,protein,jnlpba
human thp-1 monocytic leukemia cells,cell_line,jnlpba
mcp-1 rna,RNA,jnlpba
thp-1 cells,cell_type,jnlpba
biotinylated mcp-1,protein,jnlpba
peroxisome proliferator activated receptor,protein,jnlpba
pparalpha,protein,jnlpba
pparbeta,protein,jnlpba
undifferentiated human monocytic cells,cell_type,jnlpba
brca1,DNA,jnlpba
normal allele,DNA,jnlpba
microdissected ovarian tumor cells,cell_type,jnlpba
tumor and constitutional ( lymphocyte ) dna,DNA,jnlpba
premature stop codon,DNA,jnlpba
branch site,DNA,jnlpba
brca1 allele,DNA,jnlpba
brca1 mrna,RNA,jnlpba
brca1 alleles,DNA,jnlpba
myb-transformed hematopoietic cells,cell_type,jnlpba
thymus-derived lymphocytes,cell_type,jnlpba
mononuclear phagocyte/neutrophil series,cell_type,jnlpba
gm-csf-responsive bone marrow cells,cell_type,jnlpba
gm-csf-responsive progenitor cells,cell_type,jnlpba
dc lineage,cell_type,jnlpba
gm-csf-responsive cell lines,cell_line,jnlpba
cloned cell lines,cell_line,jnlpba
autoregulatory sequences,DNA,jnlpba
myb-transformed hemopoi-etic cells,cell_line,jnlpba
mthc,cell_line,jnlpba
mthc lines,cell_line,jnlpba
gm-csf-responsive progenitor cell,cell_type,jnlpba
mthc system,cell_line,jnlpba
macrophage pathways,cell_type,jnlpba
macrophage-specific cdnas,DNA,jnlpba
cytoskeletal and cell-surface proteins,protein,jnlpba
"signaling , chemokine , and ifn-gamma-inducible genes",DNA,jnlpba
antigen handling cells,cell_type,jnlpba
rpos gene,DNA,jnlpba
escherichia coli stress and stationary-phase sigma factor,protein,jnlpba
rpos,protein,jnlpba
rpos,DNA,jnlpba
e. coli rpos gene,DNA,jnlpba
hl-60- and thp-1-derived macrophages,cell_type,jnlpba
pax5,protein,jnlpba
mammalian pax genes,DNA,jnlpba
mammalian genes,DNA,jnlpba
alleles,DNA,jnlpba
wild-type allele,DNA,jnlpba
mouse genome,DNA,jnlpba
pax5 gene,DNA,jnlpba
early b-lymphoid progenitors,cell_type,jnlpba
pre-b and immature b cells,cell_type,jnlpba
mutant allele,DNA,jnlpba
pax genes,DNA,jnlpba
hematopoietic genes,DNA,jnlpba
human il-4 receptor,protein,jnlpba
receptor mutants,protein,jnlpba
murine pro-b cell line,cell_line,jnlpba
ba/f3,cell_line,jnlpba
il-4r alpha chain,protein,jnlpba
membrane-proximal proline-rich sequence motif,protein,jnlpba
box1,protein,jnlpba
bipartite il-4r,protein,jnlpba
dominant-negative version,protein,jnlpba
calcineurin catalytic ( a ) subunit,protein,jnlpba
calmodulin-binding domain,protein,jnlpba
autoinhibitory domain,protein,jnlpba
regulatory ( b ) subunit,protein,jnlpba
`` b-subunit knock-out '' ( bko ) construct,DNA,jnlpba
epitope-labeled bko,protein,jnlpba
endogenous b subunit,protein,jnlpba
b subunit,protein,jnlpba
co-transfecting bko,DNA,jnlpba
catalytically active dimer,protein,jnlpba
calcineurin a and b subunits,protein,jnlpba
d variant cells,cell_line,jnlpba
monoclonal anti-d antibodies,protein,jnlpba
"categories va , vi and dfr but not category iii cells",cell_line,jnlpba
rh : 33 cells,cell_line,jnlpba
normal rh ( d ) positive cells,cell_type,jnlpba
divergent protein kinases,protein,jnlpba
human b cell,cell_type,jnlpba
anti cd20 monoclonal antibody,protein,jnlpba
rna,RNA,jnlpba
human b-cells,cell_type,jnlpba
normal maturing granulocytes,cell_type,jnlpba
foreign body giant cells,cell_type,jnlpba
myeloid blast cells,cell_type,jnlpba
mande b lymphocytes,cell_line,jnlpba
germinal center cells,cell_type,jnlpba
b cell neoplasms,cell_type,jnlpba
b- and myeloid cell markers,protein,jnlpba
neoplastic b cells,cell_type,jnlpba
normal b cell population,cell_type,jnlpba
peroxisome proliferator-activated receptor activators,protein,jnlpba
-endothelial cell,cell_type,jnlpba
peroxisome proliferator-activated receptors,protein,jnlpba
ppars,protein,jnlpba
human aortic endothelial cells,cell_type,jnlpba
haecs,cell_type,jnlpba
ppar-alpha and ppar-gamma mrnas,RNA,jnlpba
activated shp1,protein,jnlpba
shp1 protein,protein,jnlpba
shp1,protein,jnlpba
wild-type shp1,protein,jnlpba
endogenous shp1,protein,jnlpba
inactive shp1-d421a,protein,jnlpba
wild-type shp2,protein,jnlpba
constitutively active shp1-deltash2,protein,jnlpba
shp1-deltash2,protein,jnlpba
shp2-deltash2,protein,jnlpba
tcr zeta-chain,protein,jnlpba
phospholipase cgamma1,protein,jnlpba
src family kinase,protein,jnlpba
sh2 domains,protein,jnlpba
inhibitory receptor,protein,jnlpba
cd8 ( + ) cytotoxic t lymphocytes,cell_type,jnlpba
death ligands,protein,jnlpba
fas ligand,protein,jnlpba
trail,protein,jnlpba
viral proteins,protein,jnlpba
adenovirus gene therapy vectors,DNA,jnlpba
transplanted cells,cell_line,jnlpba
c/ebpbeta,protein,jnlpba
eosinophil granule major basic protein promoter,DNA,jnlpba
mbp promoter region,DNA,jnlpba
c/ebp ( ccaat/enhancer-binding protein ) consensus binding site,DNA,jnlpba
mbp gene,DNA,jnlpba
cell line ht93a,cell_line,jnlpba
c/ebpalpha mrna,RNA,jnlpba
c/ebp-binding site,DNA,jnlpba
bp -90 to -82,DNA,jnlpba
gata-binding sites,DNA,jnlpba
mbp promoter,DNA,jnlpba
c/ebp- and gata- binding sites,DNA,jnlpba
c/ebpbeta and gata-1 negative jurkat t-cell line,cell_line,jnlpba
c/ebpbeta and gata-1 expression vectors,DNA,jnlpba
gata-1 expression vectors,DNA,jnlpba
fog,protein,jnlpba
riend ata,protein,jnlpba
gata-binding proteins,protein,jnlpba
eosinophil-specific granule protein gene,DNA,jnlpba
erythroid and megakaryocyte lineages,cell_type,jnlpba
ecto-5'-nucleotidase promoter,DNA,jnlpba
camp response element site,DNA,jnlpba
upstream regulatory region,DNA,jnlpba
5 ' region,DNA,jnlpba
ecto-5'-nucleotidase ( low k ( m ) 5'-nt ) gene,DNA,jnlpba
969-base pair ( bp ) fragment,DNA,jnlpba
endogenous ecto-5'-nt mrna,RNA,jnlpba
768-bp upstream negative regulatory region,DNA,jnlpba
244-bp deoxycytidine kinase core promoter,DNA,jnlpba
"sp1 , sp1/ap-2 , and camp response element ( cre ) binding sites",DNA,jnlpba
"sp1 , nre-2a , tcf-1/lef-1 , and sp1/nf-at binding sites",DNA,jnlpba
sp1/ap-2 site,DNA,jnlpba
969-bp promoter fragments,DNA,jnlpba
tissue-specific regulatory region,DNA,jnlpba
ecto-5'-nt core promoter,DNA,jnlpba
chemotactic factors,protein,jnlpba
signal transducer and activator of transcription 3,protein,jnlpba
cytoplasmic serine kinases,protein,jnlpba
signal-regulated protein kinase,protein,jnlpba
stat3 serine kinase,protein,jnlpba
p38 mitogen-activated protein ( map ) kinase,protein,jnlpba
serine kinase,protein,jnlpba
gata transcription factors,protein,jnlpba
murine haemopoietic cells,cell_type,jnlpba
erythroleukaemia cells,cell_type,jnlpba
primary murine erythroblasts,cell_type,jnlpba
consensus sites,DNA,jnlpba
beta-globin loci,DNA,jnlpba
nuclear antigens,protein,jnlpba
"ubiquitous ( spl , c-jun and tbp ) or haemopoietic ( nf-e2 ) transcription factors",protein,jnlpba
gata-3 proteins,protein,jnlpba
gata-1 and -2 or gata-1 and -3 gene products,protein,jnlpba
gata zinc finger domain,protein,jnlpba
plasma adrenocorticotropin,protein,jnlpba
acth,protein,jnlpba
plasma acth,protein,jnlpba
putative steroid binding domain,protein,jnlpba
human mineralocorticoid receptor,protein,jnlpba
heat shock proteins,protein,jnlpba
domain e,protein,jnlpba
putative hormone binding domain,protein,jnlpba
hbd,protein,jnlpba
hmr,protein,jnlpba
glutathione s-transferase,protein,jnlpba
bacterially-produced mr constructs,DNA,jnlpba
hsp,protein,jnlpba
mr,protein,jnlpba
mbp- or gst-hbd,protein,jnlpba
[ 3h ] aldosterone-mbp-hbd,protein,jnlpba
[ 3h ] progesterone-mbp-hbd,protein,jnlpba
mbp-hbd,protein,jnlpba
monoclonal anti-mbp antibody,protein,jnlpba
monoclonal anti-hsp antibody,protein,jnlpba
anti-rabbit hsp90 monoclonal antibody,protein,jnlpba
10.4s sedimenting complex,protein,jnlpba
mbp-hbd complex,protein,jnlpba
amino- ( 729-766 ) or carboxy- terminal ( 940-984 ) region,protein,jnlpba
hbd fragment,protein,jnlpba
transcription factor nuclear factor-kappab,protein,jnlpba
cytoplasmic factor,protein,jnlpba
tumor-derived soluble products,protein,jnlpba
neuraminidase,protein,jnlpba
rcc explants,cell_type,jnlpba
cxc chemokine,protein,jnlpba
u937 histiocytic lymphoma cells,cell_line,jnlpba
inducible nuclear factor-kappab ( nf-kappab ) ( rel a ) binding site,DNA,jnlpba
il-8 promoter,DNA,jnlpba
65 kd transcriptional activator,protein,jnlpba
nf-kappab subunit,protein,jnlpba
vascular endothelial and smooth muscle cells,cell_type,jnlpba
endothelium-derived vasoactive factors,protein,jnlpba
m2-type leukemic blast cells,cell_line,jnlpba
acute myeloid leukemia blast cells,cell_type,jnlpba
m0/m1 leukemic cells,cell_line,jnlpba
m3 leukemic cells,cell_line,jnlpba
m2 leukemic blast cells,cell_line,jnlpba
m2-type leukemic cells,cell_type,jnlpba
m2 blast cells,cell_line,jnlpba
kasumi-1 cells,cell_line,jnlpba
acute myeloid leukemia m2-type cell line,cell_line,jnlpba
vd receptor,protein,jnlpba
dr3-type vitamin d-responsive element,DNA,jnlpba
vitamin d-responsive element-regulated reporter gene,DNA,jnlpba
vd-responsive genes,DNA,jnlpba
m2 leukemic cell,cell_line,jnlpba
primary human t lymphocytes,cell_type,jnlpba
ikappabalpha kinase ( ikk ) complex,protein,jnlpba
putative ikappabalpha kinase,protein,jnlpba
p90 ( rsk ),protein,jnlpba
ikk complex,protein,jnlpba
ikkalpha and -beta,protein,jnlpba
ikkbeta,protein,jnlpba
/cd3,protein,jnlpba
il-13ralpha1 chain,protein,jnlpba
il-13 receptor complex,protein,jnlpba
il-2r gamma chain,protein,jnlpba
( gamma ( c ) ) -like molecule,protein,jnlpba
il-13r alpha1,protein,jnlpba
il-4r alpha,protein,jnlpba
in vitro monocyte-derived macrophages,cell_line,jnlpba
mdmac,cell_line,jnlpba
gamma ( c ),protein,jnlpba
il-13r alpha1-positive thp-1 cells,cell_line,jnlpba
"gamma ( c ) -positive , il-13r alpha1-negative daudi cells",cell_line,jnlpba
p53 molecule,protein,jnlpba
mutant p53,protein,jnlpba
wild type p53,protein,jnlpba
nuclear transcription factor,protein,jnlpba
major histocompatibility complex ( mhc ) class i molecules,protein,jnlpba
5 ' flanking sequences,DNA,jnlpba
b29 gene,DNA,jnlpba
b-cell-specific b29 gene,DNA,jnlpba
b29,protein,jnlpba
ig beta,protein,jnlpba
cd79b,protein,jnlpba
b-cell antigen receptor complex,protein,jnlpba
human and murine b lymphocytes,cell_type,jnlpba
human genomic dna sequence,DNA,jnlpba
atg start codon,DNA,jnlpba
tata or a caat box,DNA,jnlpba
multiple sites,DNA,jnlpba
human b29 gene,DNA,jnlpba
193-bp region,DNA,jnlpba
multiple start sites,DNA,jnlpba
minimal promoter,DNA,jnlpba
"sp1 , ets , oct , and ikaros/lyf-1 transcription factor motifs",DNA,jnlpba
murine b29 promoter,DNA,jnlpba
b29 conserved sequence,DNA,jnlpba
bcs,DNA,jnlpba
human and murine b29 promoters,DNA,jnlpba
b29 promoter,DNA,jnlpba
5 ' negative regulatory dna sequences,DNA,jnlpba
immunosuppressive factor,protein,jnlpba
interleukin 2 gene enhancer,DNA,jnlpba
colostrum inhibitory factor,protein,jnlpba
cif,protein,jnlpba
il2 mrna,RNA,jnlpba
human t leukemia cell line jurkat,cell_line,jnlpba
human il2 upstream enhancer,DNA,jnlpba
nfat element,protein,jnlpba
nfat-controlled luciferase gene system,DNA,jnlpba
tgf beta 1,protein,jnlpba
tgf beta 2,protein,jnlpba
promyelocyte cell line om10.1,cell_line,jnlpba
om10.1,cell_line,jnlpba
promyelocyte cell line,cell_line,jnlpba
heat shock-treated om10.1,cell_line,jnlpba
cdc42 effector,protein,jnlpba
n-wasp,protein,jnlpba
shigella flexneri icsa protein,protein,jnlpba
actin,protein,jnlpba
arp2/3 complex,protein,jnlpba
cdc42,protein,jnlpba
shigella icsa protein,protein,jnlpba
purified proteins,protein,jnlpba
bacterial protein icsa,protein,jnlpba
icsa-n-wasp-arp2/3 complex,protein,jnlpba
icsa,protein,jnlpba
verprolin-homology region,protein,jnlpba
acidic terminal segment,protein,jnlpba
g-actin,protein,jnlpba
nh ( 2 ) -terminal domain,protein,jnlpba
f-actin,protein,jnlpba
actin tail,protein,jnlpba
profilin,protein,jnlpba
proline-rich regions,protein,jnlpba
c-maf,protein,jnlpba
bipotent myeloid progenitors,cell_type,jnlpba
colony-forming unit granulocyte-macrophage ( cfu-gm ) myeloid progenitors,cell_line,jnlpba
granulocytic or monocytic lineage,cell_type,jnlpba
c-myb transcription factors,protein,jnlpba
c-myb target genes,DNA,jnlpba
myb consensus sites,DNA,jnlpba
promyelocyte stage,cell_type,jnlpba
cell model systems,cell_line,jnlpba
myb : maf,protein,jnlpba
differentiating cells,cell_type,jnlpba
c-maf cdna,DNA,jnlpba
human myeloid progenitor cells,cell_type,jnlpba
c-maf protein,protein,jnlpba
myb : maf complexes,protein,jnlpba
cd13/apn,protein,jnlpba
differentiation-promoting genes,DNA,jnlpba
aml1 ( cbfalpha2 ),protein,jnlpba
b cell-specific activating protein ( bsap/pax5 ),protein,jnlpba
b cell-specific blk gene promoter,DNA,jnlpba
b cell-specific genes,DNA,jnlpba
aml1-binding sites,DNA,jnlpba
aml1-binding site,DNA,jnlpba
"b cell-specific tyrosine kinase gene , blk",DNA,jnlpba
blk promoter,DNA,jnlpba
blk,DNA,jnlpba
aml1 runt dna-binding domain,DNA,jnlpba
paired dna-binding domain,DNA,jnlpba
b cell-specific transcription factor,protein,jnlpba
b cell-specific gene,DNA,jnlpba
class a macrophage scavenger receptor,protein,jnlpba
thp-1 monocytic cell line,cell_line,jnlpba
class a macrophage scavenger receptor ( msr ),protein,jnlpba
modified low density lipoproteins ( ldl ),protein,jnlpba
lipid-laden foam cells,cell_type,jnlpba
msr,protein,jnlpba
interleukin-6 ( il-6 ),protein,jnlpba
multipotential cytokine,protein,jnlpba
peripheral monocytes,cell_type,jnlpba
phorbol 12-myristate 13-acetate ( pma ) -differentiated thp-1 monocytic cells,cell_line,jnlpba
acetylated ldl,protein,jnlpba
msr promoter,DNA,jnlpba
msr promoter-reporter gene construct,DNA,jnlpba
msr promoter ap-1/ets elements,DNA,jnlpba
class a msr,protein,jnlpba
retinoblastoma gene,DNA,jnlpba
hla class ii genes,DNA,jnlpba
prototype class ii gene,DNA,jnlpba
pou domain transcription factor,protein,jnlpba
rb-defective cells,cell_type,jnlpba
interleukin 8,protein,jnlpba
rb-transformed cell lines,cell_line,jnlpba
bacterial lipoproteins,protein,jnlpba
toll-like receptor-2,protein,jnlpba
lipoproteins ( blps ),protein,jnlpba
blps,protein,jnlpba
thp-1 monocytic cells,cell_line,jnlpba
