term,annotation,df
g6pd - deficient,Disease,ncbi
hyperuricemia,Disease,ncbi
central nervous system symptoms,Disease,ncbi
chroeoathetosis,Disease,ncbi
dysarthric speech,Disease,ncbi
becker and duchenne dystrophies,Disease,ncbi
hprt deficiencies,Disease,ncbi
l - n,Disease,ncbi
l - n syndrome,Disease,ncbi
nephritis,Disease,ncbi
deficiency of c3,Disease,ncbi
proteinuria,Disease,ncbi
haematuria,Disease,ncbi
c3 - deficient,Disease,ncbi
renal disease,Disease,ncbi
glucose - 6 - phosphate dehydrogenase ( g6pd ; ec 1 . 1 . 1 . 49 ) - deficient,Disease,ncbi
thalassemia,Disease,ncbi
malarious,Disease,ncbi
fatal hemolysis,Disease,ncbi
adenovirus infection,Disease,ncbi
progressive central demyelination,Disease,ncbi
adrenal cortical insufficiency,Disease,ncbi
zellwegers cerebrohepatorenal syndrome,Disease,ncbi
peroxisomal disorders,Disease,ncbi
neonatal ald,Disease,ncbi
zellwegers syndrome,Disease,ncbi
bechterew ' s syndrome,Disease,ncbi
psoriatic arthropathy,Disease,ncbi
entero - arthropathy,Disease,ncbi
sacro - iliitis,Disease,ncbi
acute anterior uveitis,Disease,ncbi
arthropathy,Disease,ncbi
hereditary multifocal relapsing inflammation,Disease,ncbi
hemri,Disease,ncbi
chromosome 15 anomaly,Disease,ncbi
deficiency of the sixth component of complement,Disease,ncbi
haemostasis abnormality,Disease,ncbi
hemostatic abnormalities,Disease,ncbi
chronic meningococcemia,Disease,ncbi
vasculitis,Disease,ncbi
deficiency of the seventh component of complement,Disease,ncbi
deficiency of c7,Disease,ncbi
chronic neisserial infection,Disease,ncbi
familial discoid lupus erythematosus,Disease,ncbi
chronic discoid lupus erythematosus,Disease,ncbi
severe - glucose - 6 - phosphate dehydrogenase ( g6pd ) deficiency,Disease,ncbi
granulocyte dysfunction,Disease,ncbi
congenital nonspherocytic hemolytic anemia,Disease,ncbi
deficiency of g6pd,Disease,ncbi
deficient g6pd,Disease,ncbi
congenital hemolytic anemia,Disease,ncbi
hemolytic crisis,Disease,ncbi
upper respiratory infection,Disease,ncbi
hemolysis,Disease,ncbi
chronic hemolytic anemia,Disease,ncbi
c2 - deficiency,Disease,ncbi
mg,Disease,ncbi
abnormalities in the hdl,Disease,ncbi
tendinous xanthomas,Disease,ncbi
wiskott - aldrich defect,Disease,ncbi
type ii ald,Disease,ncbi
leukoencephalopathy,Disease,ncbi
deficient in glucose - 6 - phosphate dehydrogenase,Disease,ncbi
cataractous,Disease,ncbi
cortical and total cataracts,Disease,ncbi
galactosemic,Disease,ncbi
riboflavin deficiency,Disease,ncbi
metabolic abnormalities,Disease,ncbi
very - long - chain acyl - coa dehydrogenase deficiency,Disease,ncbi
"sudden , unexplained death",Disease,ncbi
hepatic encephalopathy,Disease,ncbi
liver failure,Disease,ncbi
skeletal myopathy,Disease,ncbi
cardiac arrest,Disease,ncbi
breast to ovarian cancer,Disease,ncbi
meningococcal infection,Disease,ncbi
terminal complement component deficiency,Disease,ncbi
terminal complement deficiency,Disease,ncbi
completely deficient in the seventh component of complement,Disease,ncbi
c7 deficient,Disease,ncbi
meningococcal,Disease,ncbi
complement deficient,Disease,ncbi
subtotal complement c6 deficiency,Disease,ncbi
subtotal c6 and complete c6 deficiency,Disease,ncbi
multisystemic disease,Disease,ncbi
myopathic,Disease,ncbi
galt deficiency,Disease,ncbi
classic galactosemia,Disease,ncbi
autosomal dominant congenital disorder of the eye,Disease,ncbi
anosmia,Disease,ncbi
haploinsufficiency of pax6,Disease,ncbi
spinocerebellar ataxia 3 / machado - joseph disease,Disease,ncbi
spinocerebellar ataxia 3,Disease,ncbi
type i autosomal dominant cerebellar ataxia,Disease,ncbi
adca type i,Disease,ncbi
dentatorubropallidoluysian atrophy,Disease,ncbi
"rare , sex - linked recessive , dysmyelinating disease of the central nervous system",Disease,ncbi
x - linked congenital thrombocytopenia,Disease,ncbi
congenital x - linked thrombocytopenia,Disease,ncbi
myotonia levior,Disease,ncbi
chloride channel disorder,Disease,ncbi
dominant non - dystrophic myotonias,Disease,ncbi
dominant myotonia congenita,Disease,ncbi
thomsens disease,Disease,ncbi
dominant myotonias,Disease,ncbi
muscle hypertrophy,Disease,ncbi
recessive myotonia,Disease,ncbi
hprt enzyme deficiency,Disease,ncbi
amelogenesis imperfecta,Disease,ncbi
inherited disorders,Disease,ncbi
aih1,Disease,ncbi
hyperalphalipoproteinemic,Disease,ncbi
hyperalphalipoproteinemia,Disease,ncbi
corneal opacity,Disease,ncbi
atherosclerotic symptoms,Disease,ncbi
mucopolysaccharidosis type iva,Disease,ncbi
deficiency in n - acetylgalactosamine - 6 - sulfatase,Disease,ncbi
familial breast / ovarian cancer,Disease,ncbi
ovarian or breast cancer,Disease,ncbi
breast and prostate cancer,Disease,ncbi
intra - abdominal carcinomatosis,Disease,ncbi
g6pd a -,Disease,ncbi
melanoma,Disease,ncbi
melanomas,Disease,ncbi
vlcad - deficient,Disease,ncbi
deficiency of the normal vlcad protein,Disease,ncbi
brain disease,Disease,ncbi
white matter lesions,Disease,ncbi
cerebral atrophy,Disease,ncbi
cognitive dysfunction,Disease,ncbi
ado,Disease,ncbi
duchenne dystrophy,Disease,ncbi
breast and breast - ovarian cancer,Disease,ncbi
primary peritoneal cancer,Disease,ncbi
cancer of the fallopian tube,Disease,ncbi
oculocerebrorenal syndrome,Disease,ncbi
cardiac disease,Disease,ncbi
hereditary deficiency of the fifth component of complement,Disease,ncbi
c5d,Disease,ncbi
peroxisomal deficiency disorders,Disease,ncbi
pts1 protein - import defect,Disease,ncbi
protein - import deficiency,Disease,ncbi
hereditary and non hereditary retinoblastoma,Disease,ncbi
hereditary or non hereditary retinoblastoma,Disease,ncbi
absence of iris,Disease,ncbi
sporadic ovarian tumours,Disease,ncbi
autosomal dominant syndrome,Disease,ncbi
non - hereditary ( sporadic ) breast cancer,Disease,ncbi
carcinoma in situ,Disease,ncbi
invasive cancer,Disease,ncbi
x - linked diseases,Disease,ncbi
adolescent ald,Disease,ncbi
addison only,Disease,ncbi
hearing impairment,Disease,ncbi
congenital disease,Disease,ncbi
spinal cerebellar ataxia,Disease,ncbi
breast - ovary cancer - family syndrome,Disease,ncbi
cancer of the breast and ovaries,Disease,ncbi
breast - ovary cancer,Disease,ncbi
breast - ovarian cancer - family syndrome,Disease,ncbi
essential fructosuria,Disease,ncbi
inborn errors of metabolism,Disease,ncbi
deficiency of hepatic fructokinase,Disease,ncbi
fructosuria,Disease,ncbi
type ii gaucher disease,Disease,ncbi
deficiency of beta - glucocerebrosidase,Disease,ncbi
type i gd,Disease,ncbi
type ii gd,Disease,ncbi
type iii gd,Disease,ncbi
type gd ii,Disease,ncbi
gd type ii,Disease,ncbi
stillborn,Disease,ncbi
neurodegenerative disease,Disease,ncbi
short trunk and extremities,Disease,ncbi
mid - face hypoplasia,Disease,ncbi
retinal detachment,Disease,ncbi
ovarian tumor,Disease,ncbi
serous cystadenocarcinoma,Disease,ncbi
ovarian tumors,Disease,ncbi
breast and ovarian carcinomas,Disease,ncbi
familial tumors,Disease,ncbi
ovarian and early - onset,Disease,ncbi
breast and ovarian tumors,Disease,ncbi
ovarian carcinomas,Disease,ncbi
congenital cataracts,Disease,ncbi
anophthalmia,Disease,ncbi
central nervous system defects,Disease,ncbi
craniofacial and central nervous system defects,Disease,ncbi
no eyes,Disease,ncbi
impairment of very long chain fatty acids beta - oxidation,Disease,ncbi
autosomal dominant neurodegenerative disorder,Disease,ncbi
cholesteryl ester transfer protein deficiency,Disease,ncbi
genetic deficiency,Disease,ncbi
xanthoma,Disease,ncbi
demyelination,Disease,ncbi
impaired function of adrenal cortex and testes,Disease,ncbi
ccald,Disease,ncbi
adolescent cerebral ald,Disease,ncbi
adolcald,Disease,ncbi
x - linked multisystem disorder,Disease,ncbi
allelic disorders,Disease,ncbi
x - linked dysmyelinating disorder,Disease,ncbi
autosomal recessive leukodystrophy,Disease,ncbi
canavan,Disease,ncbi
autism,Disease,ncbi
carcinoma of the rectum,Disease,ncbi
autistic,Disease,ncbi
familial male breast cancer,Disease,ncbi
ewing family of tumors,Disease,ncbi
malignant melanoma of soft parts,Disease,ncbi
desmoplastic small round cell tumors,Disease,ncbi
ewing sarcoma,Disease,ncbi
ewings sarcoma,Disease,ncbi
spongy degeneration of the brain,Disease,ncbi
neuromuscular disorder,Disease,ncbi
late - infantile metachromatic leukodystrophy,Disease,ncbi
adult mld,Disease,ncbi
late - infantile type of mld,Disease,ncbi
deficiency of arylsulfatase a,Disease,ncbi
protein s deficiency type i,Disease,ncbi
type i protein s deficiency,Disease,ncbi
anterior segment malformations,Disease,ncbi
peters ' anomaly,Disease,ncbi
anterior segment anomalies,Disease,ncbi
advanced prostate cancers,Disease,ncbi
metastatic prostate cancer,Disease,ncbi
advanced prostate cancer,Disease,ncbi
ochronosis,Disease,ncbi
ochronotic arthropathy,Disease,ncbi
hereditary glucose / galactose malabsorption,Disease,ncbi
diarrhea,Disease,ncbi
prolidase deficiency,Disease,ncbi
iminodipeptiduria,Disease,ncbi
skin ulcers,Disease,ncbi
neurodevelopmentally handicapped,Disease,ncbi
hypothalamic abnormalities,Disease,ncbi
retinitis pigmentosa,Disease,ncbi
pattern dystrophy,Disease,ncbi
fundus flavimaculatus,Disease,ncbi
retinitis punctata albescens,Disease,ncbi
pattern macular dystrophy,Disease,ncbi
macular degeneration,Disease,ncbi
pericentral scotomas,Disease,ncbi
autosomal recessive disease glucose / galactose malabsorption,Disease,ncbi
chrpe,Disease,ncbi
wnd,Disease,ncbi
breast tumour,Disease,ncbi
cholesterol acyltransferase deficiency,Disease,ncbi
classic ( complete ) lecithin cholesterol acyltransferase ( lcat ) deficiency,Disease,ncbi
partial lcat deficiency,Disease,ncbi
atherosclerotic cardiovascular disease,Disease,ncbi
lcat deficiency,Disease,ncbi
classic lcat deficiency,Disease,ncbi
complete or partial lcat deficiency,Disease,ncbi
atherosclerosis,Disease,ncbi
x linked recessive thrombocytopenia,Disease,ncbi
immunological abnormalities,Disease,ncbi
x linked recessive thrombocytopenic disorder,Disease,ncbi
central scotoma,Disease,ncbi
atrophy of the retinal pigment epithelium,Disease,ncbi
choriocapillaris of the macula,Disease,ncbi
cone dysfunction,Disease,ncbi
hfe defect,Disease,ncbi
ewing tumors,Disease,ncbi
pseudoglioma,Disease,ncbi
x - linked neurodevelopmental disorder,Disease,ncbi
norrie,Disease,ncbi
bilateral and unilateral retinoblastoma,Disease,ncbi
retinoblastoma tumors,Disease,ncbi
congenital malformation of the eye,Disease,ncbi
autosomal dominant neurohypophyseal diabetes insipidus,Disease,ncbi
diabetes insipidus,Disease,ncbi
hereditary breast - ovarian cancer,Disease,ncbi
hereditary breast - ovarian cancer syndrome,Disease,ncbi
amyloidotic kidney disease,Disease,ncbi
x - linked disease,Disease,ncbi
central nervous system demyelination,Disease,ncbi
hypobetalipoproteinemia,Disease,ncbi
developmental abnormalities,Disease,ncbi
familial hypobetalipoproteinemia,Disease,ncbi
autosomal codominant disorder,Disease,ncbi
coronary vascular disease,Disease,ncbi
chylomicronemia,Disease,ncbi
exencephalus,Disease,ncbi
hydrocephalus,Disease,ncbi
atherogenesis,Disease,ncbi
deficiency of mitochondrial very - long - chain acyl - coa dehydrogenase,Disease,ncbi
glucose - 6 - phosphate dehydrogenase ( g6pd ) - deficient,Disease,ncbi
hemophilia a,Disease,ncbi
genetic bleeding disorders,Disease,ncbi
hemophilia,Disease,ncbi
papillary cystadenoma of the epididymis,Disease,ncbi
metastatic renal cell carcinoma,Disease,ncbi
papillary cystadenoma,Disease,ncbi
cystadenomas of the epididymis,Disease,ncbi
x - linked wiskott - aldrich syndrome,Disease,ncbi
immunodeficiency disease,Disease,ncbi
congenital thrombocytopenia,Disease,ncbi
trichorhinophalangeal syndrome,Disease,ncbi
trps,Disease,ncbi
prostatic cancer,Disease,ncbi
deficiency of glucose - 6 - phosphate dehydrogenase,Disease,ncbi
bipolar disorder,Disease,ncbi
bipolar affective disorder,Disease,ncbi
bpad,Disease,ncbi
breast - ovarian syndrome,Disease,ncbi
brca1 deficiency,Disease,ncbi
neuroepithelial abnormalities,Disease,ncbi
brca1 - deficient,Disease,ncbi
spina bifida,Disease,ncbi
anencephaly,Disease,ncbi
x - linked inherited metabolic disorder,Disease,ncbi
inborn peroxisomal disease,Disease,ncbi
demyelination in the central and peripheral nervous system,Disease,ncbi
atelosteogenesis type ii,Disease,ncbi
ao ii,Disease,ncbi
aoii,Disease,ncbi
hereditary human breast and ovarian cancer,Disease,ncbi
brca1 defects,Disease,ncbi
emerin deficiency,Disease,ncbi
neuromuscular diseases,Disease,ncbi
deficiency of emerin,Disease,ncbi
colon or lung cancer,Disease,ncbi
mcf - 7 tumours,Disease,ncbi
sporadic t - cell leukaemia,Disease,ncbi
recessive multi - system disorder,Disease,ncbi
lymphoid neoplasias,Disease,ncbi
sporadic t - cell prolymphocytic leukaemia,Disease,ncbi
t - pll,Disease,ncbi
clonal malignancy,Disease,ncbi
mature t - cell leukaemia,Disease,ncbi
leukaemia,Disease,ncbi
b - cell non - hodgkins lymphomas,Disease,ncbi
b - nhl,Disease,ncbi
sporadic t - pll,Disease,ncbi
muscular disorder,Disease,ncbi
unilateral retinoblastoma,Disease,ncbi
bilateral retinoblastoma,Disease,ncbi
pyogenic infection,Disease,ncbi
rheumatic diseases,Disease,ncbi
adndi,Disease,ncbi
dominantly inherited neurodegeneration,Disease,ncbi
sporadic prostate carcinoma,Disease,ncbi
male cancer,Disease,ncbi
sporadic prostate cancer,Disease,ncbi
prostate tumors,Disease,ncbi
congenital myotonic dystrophy,Disease,ncbi
muscular weakness,Disease,ncbi
congenital dm,Disease,ncbi
ectopic intracranial retinoblastoma,Disease,ncbi
pineal and retinal tumours,Disease,ncbi
retinal and the pineal tumours,Disease,ncbi
deficiency of hex a,Disease,ncbi
hex a deficiency,Disease,ncbi
gastrulation defect,Disease,ncbi
familial melanoma,Disease,ncbi
disorder of glycoprotein metabolism,Disease,ncbi
deficiency of the lysosomal enzyme aspartylglucosaminidase,Disease,ncbi
malignancy,Disease,ncbi
familial and sporadic cancers,Disease,ncbi
von hippel - lindau ( vhl ) tumor,Disease,ncbi
vhl cancer syndrome,Disease,ncbi
brain hemangioblastomas,Disease,ncbi
rcc cancer,Disease,ncbi
auditory anomalies,Disease,ncbi
waardenburg syndrome,Disease,ncbi
atrophic benign epidermolysis bullosa,Disease,ncbi
junctional epidermolysis bullosa,Disease,ncbi
blistering,Disease,ncbi
nail dystrophy,Disease,ncbi
patchy alopecia,Disease,ncbi
dental abnormalities,Disease,ncbi
skin fragility,Disease,ncbi
anhaptoglobinemia,Disease,ncbi
hypohaptoglobinemia,Disease,ncbi
hypohaptoglobinemic,Disease,ncbi
hodgkin lymphoma,Disease,ncbi
cowden disease,Disease,ncbi
bannayan - zonana syndrome,Disease,ncbi
hamartoma syndromes,Disease,ncbi
"sporadic breast , brain , prostate and kidney cancer",Disease,ncbi
thyroid tumours,Disease,ncbi
cd,Disease,ncbi
bannayan - zonana ( bzs ) or ruvalcaba - riley - smith syndrome,Disease,ncbi
bzs,Disease,ncbi
breast disease,Disease,ncbi
malignant breast disease,Disease,ncbi
complement component c6 deficiency,Disease,ncbi
c6d,Disease,ncbi
neisserial infection,Disease,ncbi
autosomal dominant keratitis,Disease,ncbi
isolated foveal hypoplasia,Disease,ncbi
ovarian or other cancers,Disease,ncbi
male and female breast cancer,Disease,ncbi
eye movement abnormalities,Disease,ncbi
cerebellar ataxia type i,Disease,ncbi
cerebellar ataxias type i,Disease,ncbi
spinocerebellar ataxias 1 and 2,Disease,ncbi
sca1,Disease,ncbi
sca2,Disease,ncbi
hypermetria,Disease,ncbi
gaze - evoked nystagmus,Disease,ncbi
ventricular fibrillation,Disease,ncbi
diffuse mesangial sclerosis,Disease,ncbi
dms,Disease,ncbi
isolated dms,Disease,ncbi
idms,Disease,ncbi
iron - overload disease,Disease,ncbi
saethre - chotzen syndrome,Disease,ncbi
autosomal dominant condition,Disease,ncbi
craniosynostosis,Disease,ncbi
limb anomalies,Disease,ncbi
coronal synostosis,Disease,ncbi
brachycephaly,Disease,ncbi
low frontal hairline,Disease,ncbi
facial asymmetry,Disease,ncbi
ptosis,Disease,ncbi
broad great toes,Disease,ncbi
clinodactyly,Disease,ncbi
craniosynostotic condition,Disease,ncbi
"saethre - chotzen , crouzon , and pfeiffer syndromes",Disease,ncbi
inherited disorder of iron metabolism,Disease,ncbi
iron overload,Disease,ncbi
premature death,Disease,ncbi
colonic adenomas,Disease,ncbi
rectal polyp,Disease,ncbi
desmoid tumors,Disease,ncbi
male pseudohermaphroditism,Disease,ncbi
recessive disease,Disease,ncbi
g ( m2 ) gangliosidosis,Disease,ncbi
"infantile form of g ( m2 ) gangliosidosis , type 1",Disease,ncbi
hex a enzyme deficiency,Disease,ncbi
pendred,Disease,ncbi
x - linked dilated cardiomyopathy,Disease,ncbi
xldcm,Disease,ncbi
dystrophinopathy,Disease,ncbi
myocardial involvement,Disease,ncbi
acth deficiency,Disease,ncbi
monogenic endocrine disorder,Disease,ncbi
pah deficiency,Disease,ncbi
unilateral tumors,Disease,ncbi
maternal uniparental disomy ( upd ) for chromosome 15,Disease,ncbi
maternal disomy 15,Disease,ncbi
maternal upd 15,Disease,ncbi
schwartz - jampel syndrome type 2,Disease,ncbi
stuve - wiedemann syndrome,Disease,ncbi
skeletal dysplasia,Disease,ncbi
sws,Disease,ncbi
campomelia,Disease,ncbi
contractures,Disease,ncbi
early death,Disease,ncbi
congenital joint contractures,Disease,ncbi
hyperthermia,Disease,ncbi
campomelic - metaphyseal skeletal dysplasia,Disease,ncbi
von willebrand factor ( vwf ) deficiency,Disease,ncbi
vwf - deficient,Disease,ncbi
vascular injury,Disease,ncbi
hereditary forms of ovarian cancer,Disease,ncbi
alzheimers disease,Disease,ncbi
ad,Disease,ncbi
abnormalities in the bilateral cerebellar hemispheres,Disease,ncbi
demyelination of the cerebral white matter,Disease,ncbi
insidious lesion,Disease,ncbi
neuronal degeneration,Disease,ncbi
complement c9 deficiency,Disease,ncbi
deficient in brca1,Disease,ncbi
familial foveal dysplasia,Disease,ncbi
very - long - chain acyl - coenzyme a dehydrogenase deficiency,Disease,ncbi
very - long - chain acyl - coenzyme a dehydrogenase ( vlcad ) deficiency,Disease,ncbi
encephalopathy,Disease,ncbi
colorectal adenomas and carcinoma,Disease,ncbi
colorectal adenomas and / or carcinoma,Disease,ncbi
metaplastic polyps of the colorectum,Disease,ncbi
congenital chloride diarrhea,Disease,ncbi
cld,Disease,ncbi
crc,Disease,ncbi
"colorectal , breast and other cancers",Disease,ncbi
wfs,Disease,ncbi
hereditary breast and / or ovarian cancer,Disease,ncbi
deficiency in the sterol 27 - hydroxylase activity,Disease,ncbi
autosomal recessive alport syndrome,Disease,ncbi
hematuric glomerulonephritis,Disease,ncbi
glomerular basement membrane abnormalities,Disease,ncbi
cognitive impairment,Disease,ncbi
cerebral dysfunction,Disease,ncbi
hereditary non - polyposis colorectal cancer,Disease,ncbi
hereditary coproporphyria,Disease,ncbi
hcp,Disease,ncbi
deficiency of coproporphyrinogen oxidase,Disease,ncbi
human complement factor h deficiency,Disease,ncbi
hemolytic uremic syndrome,Disease,ncbi
deficiency in the human complement regulatory protein factor h,Disease,ncbi
acute renal disease,Disease,ncbi
hus,Disease,ncbi
factor h deficiency,Disease,ncbi
friedreichs ataxia,Disease,ncbi
deficiency of the sixth component of human complement,Disease,ncbi
meningococcal disease,Disease,ncbi
c7 defects,Disease,ncbi
manic - depressive illness,Disease,ncbi
mania,Disease,ncbi
hypomania,Disease,ncbi
depression,Disease,ncbi
psychiatric disorder,Disease,ncbi
affective disorders,Disease,ncbi
cdm,Disease,ncbi
hepatic cirrhosis,Disease,ncbi
neoplasia,Disease,ncbi
colorectal neoplasia,Disease,ncbi
"colorectal , or other , cancers",Disease,ncbi
hc,Disease,ncbi
hepatic porphyria,Disease,ncbi
deficient activity of coproporphyrinogen iii oxidase,Disease,ncbi
neurological dysfunction,Disease,ncbi
gene defects,Disease,ncbi
hematological malignancy,Disease,ncbi
neurofibromatosis type 1,Disease,ncbi
nf1,Disease,ncbi
congenital eye malformations,Disease,ncbi
congenital absence of the iris,Disease,ncbi
malformation of the eye,Disease,ncbi
ectopia pupillae,Disease,ncbi
displaced pupils,Disease,ncbi
congenital nystagmus,Disease,ncbi
searching gaze,Disease,ncbi
pax6 - related disease,Disease,ncbi
deficiency of the second component of complement,Disease,ncbi
cardiac defects,Disease,ncbi
copper toxicosis,Disease,ncbi
hepatic copper accumulation,Disease,ncbi
copper overload,Disease,ncbi
non - indian childhood cirrhosis,Disease,ncbi
ct,Disease,ncbi
inherited colorectal polyposis,Disease,ncbi
familial adenomatous polyposis syndrome,Disease,ncbi
"colorectal cancer ,",Disease,ncbi
non - inherited breast carcinomas,Disease,ncbi
non - familial cancers,Disease,ncbi
non - familial breast and ovarian cancers,Disease,ncbi
breast malignancies,Disease,ncbi
invasive lobular cancers,Disease,ncbi
low - grade ductal carcinomas,Disease,ncbi
ductal carcinomas,Disease,ncbi
